x1,y1,x2,y2,intensity
-1.09433,-0.46681,-1.13753,-0.44164,0
-1.13753,-0.44164,-1.18538,-0.427125,1e-07
-1.18538,-0.427125,-1.23329,-0.412823,0
-1.23329,-0.412823,-1.28223,-0.402585,1e-07
-1.28223,-0.402585,-1.32937,-0.385906,0
-1.32937,-0.385906,-1.37702,-0.370776,1e-07
-1.37702,-0.370776,-1.42532,-0.357819,0
-1.42532,-0.357819,-1.47024,-0.335864,1e-07
-1.47024,-0.335864,-1.5133,-0.310458,0
-1.5133,-0.310458,-1.56073,-0.294637,1e-07
-1.56073,-0.294637,-1.60966,-0.284319,0
-1.60966,-0.284319,-1.65929,-0.278245,1e-07
-1.65929,-0.278245,-1.7076,-0.265368,0
-1.7076,-0.265368,-1.75232,-0.242999,1e-07
-1.75232,-0.242999,-1.79314,-0.214124,0
-1.79314,-0.214124,-1.83889,-0.193964,1e-07
-1.83889,-0.193964,-1.87839,-0.163304,0
-1.87839,-0.163304,-1.91829,-0.13317,5.52872e-08
-1.91829,-0.13317,-1.95725,-0.101837,0
-1.95725,-0.101837,-2.00072,-0.0771312,4.01409e-09
-1,-0.5,-0.964098,-0.4652,2.29787e-08
-0.964098,-0.4652,-0.930878,-0.427831,1e-07
-0.930878,-0.427831,-0.904741,-0.385206,0
-0.904741,-0.385206,-0.886254,-0.33875,1e-07
-0.886254,-0.33875,-0.876191,-0.289773,0
-0.876191,-0.289773,-0.871181,-0.240024,1e-07
-0.871181,-0.240024,-0.874247,-0.190119,0
-0.874247,-0.190119,-0.864532,-0.141071,6.91978e-08
-0.864532,-0.141071,-0.856931,-0.0916526,0
-0.856931,-0.0916526,-0.853376,-0.0417791,3.04711e-09
-0.853376,-0.0417791,-0.862083,0.00745696,1.52355e-09
-1,-0.5,-1.02235,-0.455274,2.35941e-08
-1.02235,-0.455274,-1.03265,-0.406347,1e-07
-1.03265,-0.406347,-1.05492,-0.361579,0
-1.05492,-0.361579,-1.0731,-0.315003,1e-07
-1.0731,-0.315003,-1.09265,-0.268982,0
-1.09265,-0.268982,-1.10815,-0.221443,1e-07
-1.10815,-0.221443,-1.1325,-0.177775,0
-1.1325,-0.177775,-1.14623,-0.129698,1e-07
-1.14623,-0.129698,-1.17052,-0.0859929,0
-1.17052,-0.0859929,-1.20064,-0.0460848,1e-07
-1.20064,-0.0460848,-1.23911,-0.0141391,0
