step,solver,pc,trial,runtime_ms
5,bcgs,sor,2,207.252
5,bcgs,sor,3,208.315
5,bcgs,sor,4,206.608
5,bcgs,sor,5,200.294
5,bcgs,ilu,1,242.602
5,bcgs,ilu,2,225.293
5,bcgs,ilu,3,223.421
5,bcgs,ilu,4,218.726
5,bcgs,ilu,5,233.074
5,bcgs,icc,1,163.841
5,bcgs,icc,2,163.926
5,bcgs,icc,3,165.972
5,bcgs,icc,4,167.762
5,bcgs,icc,5,163.452
5,bcgs,gamg,1,643.075
5,bcgs,gamg,2,637.756
5,bcgs,gamg,3,639.326
5,bcgs,gamg,4,638.889
5,bcgs,gamg,5,634.204
5,gmres,jacobi,1,671.726
5,gmres,jacobi,2,675.015
5,gmres,jacobi,3,675.47
5,gmres,jacobi,4,675.131
5,gmres,jacobi,5,674.139
5,gmres,sor,1,335.123
5,gmres,sor,2,334.557
5,gmres,sor,3,332.316
5,gmres,sor,4,338.812
5,gmres,sor,5,331.755
5,gmres,ilu,1,372.625
5,gmres,ilu,2,380.768
5,gmres,ilu,3,376.031
5,gmres,ilu,4,358.33
5,gmres,ilu,5,385.191
5,gmres,icc,1,295.951
5,gmres,icc,2,295.291
5,gmres,icc,3,300.905
5,gmres,icc,4,298.388
5,gmres,icc,5,298.783
5,gmres,gamg,1,781.298
5,gmres,gamg,2,778.591
5,gmres,gamg,3,777.931
5,gmres,gamg,4,763.28
5,gmres,gamg,5,779.609
6,cg,jacobi,1,311.206
6,cg,jacobi,2,318.452
6,cg,jacobi,3,322.315
6,cg,jacobi,4,331.523
6,cg,jacobi,5,339.413
6,cg,sor,1,163.516
6,cg,sor,2,164.638
6,cg,sor,3,168.495
6,cg,sor,4,171.295
6,cg,sor,5,167.384
6,cg,ilu,1,210.955
6,cg,ilu,2,209.28
6,cg,ilu,3,221.984
6,cg,ilu,4,217.99
6,cg,ilu,5,210.168
6,cg,icc,1,163.998
6,cg,icc,2,161.584
6,cg,icc,3,157.383
6,cg,icc,4,161.896
6,cg,icc,5,162.029
6,cg,gamg,1,652.136
6,cg,gamg,2,632.773
6,cg,gamg,3,633.348
6,cg,gamg,4,636.036
6,cg,gamg,5,653.491
6,bcgs,jacobi,1,290.849
6,bcgs,jacobi,2,291.217
6,bcgs,jacobi,3,290.574
6,bcgs,jacobi,4,291.309
6,bcgs,jacobi,5,290.926
6,bcgs,sor,1,217.209
6,bcgs,sor,2,218.018
6,bcgs,sor,3,217.594
6,bcgs,sor,4,218.336
6,bcgs,sor,5,217.592
6,bcgs,ilu,1,210.274
6,bcgs,ilu,2,201.103
6,bcgs,ilu,3,198.965
6,bcgs,ilu,4,224.833
6,bcgs,ilu,5,237.919
6,bcgs,icc,1,193.203
6,bcgs,icc,2,194.584
6,bcgs,icc,3,194.426
6,bcgs,icc,4,191.734
6,bcgs,icc,5,192.415
6,bcgs,gamg,1,781.779
6,bcgs,gamg,2,782.618
6,bcgs,gamg,3,779.129
6,bcgs,gamg,4,780.813
6,bcgs,gamg,5,782.403
6,gmres,jacobi,1,690.13
6,gmres,jacobi,2,684.876
6,gmres,jacobi,3,682.406
6,gmres,jacobi,4,688.667
6,gmres,jacobi,5,685.069
6,gmres,sor,1,340.865
6,gmres,sor,2,335.617
6,gmres,sor,3,343.588
6,gmres,sor,4,341.325
6,gmres,sor,5,336.474
6,gmres,ilu,1,392.468
6,gmres,ilu,2,384.87
6,gmres,ilu,3,389.364
6,gmres,ilu,4,395.653
6,gmres,ilu,5,376.615
6,gmres,icc,1,298.227
6,gmres,icc,2,299.929
6,gmres,icc,3,305.072
6,gmres,icc,4,303.27
6,gmres,icc,5,299.932
6,gmres,gamg,1,805.741
6,gmres,gamg,2,801.768
6,gmres,gamg,3,803.58
6,gmres,gamg,4,800.534
6,gmres,gamg,5,798.824
7,cg,jacobi,1,313.375
7,cg,jacobi,2,327.362
7,cg,jacobi,3,332.778
7,cg,jacobi,4,334.801
7,cg,jacobi,5,339.019
7,cg,sor,1,168.169
7,cg,sor,2,167.847
7,cg,sor,3,167.057
7,cg,sor,4,168.225
7,cg,sor,5,170.784
7,cg,ilu,1,213.868
7,cg,ilu,2,212.254
7,cg,ilu,3,210.718
7,cg,ilu,4,246.943
7,cg,ilu,5,222.108
7,cg,icc,1,165.1
7,cg,icc,2,166.338
7,cg,icc,3,166.304
7,cg,icc,4,167.42
7,cg,icc,5,169.488
7,cg,gamg,1,677.031
7,cg,gamg,2,684.404
7,cg,gamg,3,677.796
7,cg,gamg,4,676.747
7,cg,gamg,5,681.34
7,bcgs,jacobi,1,277.421
7,bcgs,jacobi,2,290.075
7,bcgs,jacobi,3,287.45
7,bcgs,jacobi,4,285.552
7,bcgs,jacobi,5,284.218
7,bcgs,sor,1,207.629
7,bcgs,sor,2,204.031
7,bcgs,sor,3,207.803
7,bcgs,sor,4,206.772
7,bcgs,sor,5,202.489
7,bcgs,ilu,1,266.444
7,bcgs,ilu,2,253.641
7,bcgs,ilu,3,244.075
7,bcgs,ilu,4,234.498
7,bcgs,ilu,5,253.294
7,bcgs,icc,1,182.011
7,bcgs,icc,2,180.897
7,bcgs,icc,3,184.342
7,bcgs,icc,4,178.412
7,bcgs,icc,5,180.091
7,bcgs,gamg,1,812.82
7,bcgs,gamg,2,819.387
7,bcgs,gamg,3,821.634
7,bcgs,gamg,4,811.303
7,bcgs,gamg,5,821.738
7,gmres,jacobi,1,694.585
7,gmres,jacobi,2,688.683
7,gmres,jacobi,3,683.468
7,gmres,jacobi,4,677.097
7,gmres,jacobi,5,678.028
7,gmres,sor,1,335.376
