step,solver,pc,trial,runtime_ms
6,gmres,ilu,1,307.415
6,gmres,ilu,2,311.172
6,gmres,ilu,3,307.133
6,gmres,ilu,4,307.946
6,gmres,ilu,5,306.474
6,gmres,icc,1,280.159
6,gmres,icc,2,279.987
6,gmres,icc,3,280.465
6,gmres,icc,4,280.129
6,gmres,icc,5,280.391
6,gmres,gamg,1,727.696
6,gmres,gamg,2,730.739
6,gmres,gamg,3,732.736
6,gmres,gamg,4,733.015
6,gmres,gamg,5,734.081
step,solver,pc,trial,runtime_ms
7,cg,jacobi,1,222.782
7,cg,jacobi,2,222.897
7,cg,jacobi,3,223.476
7,cg,jacobi,4,222.884
7,cg,jacobi,5,222.566
7,cg,sor,1,127.129
7,cg,sor,2,126.708
7,cg,sor,3,126.735
7,cg,sor,4,126.881
7,cg,sor,5,126.906
7,cg,ilu,1,142.079
7,cg,ilu,2,125.14
7,cg,ilu,3,121.503
7,cg,ilu,4,120.539
7,cg,ilu,5,120.771
7,cg,icc,1,119.677
7,cg,icc,2,119.774
7,cg,icc,3,119.779
7,cg,icc,4,119.753
7,cg,icc,5,119.829
7,cg,gamg,1,587.529
7,cg,gamg,2,594.488
7,cg,gamg,3,598.729
7,cg,gamg,4,603.804
7,cg,gamg,5,606.358
7,bcgs,jacobi,1,259.637
7,bcgs,jacobi,2,259.529
7,bcgs,jacobi,3,258.975
7,bcgs,jacobi,4,258.865
7,bcgs,jacobi,5,258.903
7,bcgs,sor,1,186.618
7,bcgs,sor,2,186.303
7,bcgs,sor,3,186.48
7,bcgs,sor,4,186.264
7,bcgs,sor,5,186.243
7,bcgs,ilu,1,182.953
7,bcgs,ilu,2,165.877
7,bcgs,ilu,3,163.811
7,bcgs,ilu,4,163.155
7,bcgs,ilu,5,162.009
7,bcgs,icc,1,168.068
7,bcgs,icc,2,166.959
7,bcgs,icc,3,166.804
7,bcgs,icc,4,167.053
7,bcgs,icc,5,166.55
7,bcgs,gamg,1,743.575
7,bcgs,gamg,2,744.703
7,bcgs,gamg,3,745.448
7,bcgs,gamg,4,747.321
7,bcgs,gamg,5,748.408
7,gmres,jacobi,1,646.613
7,gmres,jacobi,2,643.248
7,gmres,jacobi,3,643.803
7,gmres,jacobi,4,643.892
7,gmres,jacobi,5,643.535
7,gmres,sor,1,310.524
7,gmres,sor,2,310.493
7,gmres,sor,3,310.54
7,gmres,sor,4,310.425
7,gmres,sor,5,310.362
7,gmres,ilu,1,309.981
7,gmres,ilu,2,309.321
7,gmres,ilu,3,311.527
7,gmres,ilu,4,310.3
7,gmres,ilu,5,310.055
7,gmres,icc,1,280.83
7,gmres,icc,2,280.827
7,gmres,icc,3,280.813
7,gmres,icc,4,281.108
7,gmres,icc,5,280.908
7,gmres,gamg,1,728.391
7,gmres,gamg,2,730.544
7,gmres,gamg,3,732.201
7,gmres,gamg,4,737.618
7,gmres,gamg,5,734.168
step,solver,pc,trial,runtime_ms
8,cg,jacobi,1,219.352
8,cg,jacobi,2,219.277
8,cg,jacobi,3,219.562
8,cg,jacobi,4,219.535
8,cg,jacobi,5,219.668
8,cg,sor,1,124.882
8,cg,sor,2,124.582
8,cg,sor,3,124.534
8,cg,sor,4,124.611
8,cg,sor,5,124.61
8,cg,ilu,1,141.496
8,cg,ilu,2,125.795
8,cg,ilu,3,121.828
8,cg,ilu,4,118.203
8,cg,ilu,5,118.163
8,cg,icc,1,118.659
8,cg,icc,2,118.823
8,cg,icc,3,118.849
8,cg,icc,4,119.014
8,cg,icc,5,118.996
8,cg,gamg,1,589.831
8,cg,gamg,2,599.654
8,cg,gamg,3,607.862
8,cg,gamg,4,608.372
8,cg,gamg,5,611.087
8,bcgs,jacobi,1,301.58
8,bcgs,jacobi,2,300.459
8,bcgs,jacobi,3,300.787
8,bcgs,jacobi,4,301.234
8,bcgs,jacobi,5,302.239
8,bcgs,sor,1,201.65
8,bcgs,sor,2,201.168
8,bcgs,sor,3,201.764
8,bcgs,sor,4,201.262
8,bcgs,sor,5,201.344
8,bcgs,ilu,1,157.732
8,bcgs,ilu,2,144.075
8,bcgs,ilu,3,143.195
8,bcgs,ilu,4,143.086
8,bcgs,ilu,5,142.312
8,bcgs,icc,1,159.619
8,bcgs,icc,2,158.579
8,bcgs,icc,3,159.583
8,bcgs,icc,4,157.101
8,bcgs,icc,5,159.071
8,bcgs,gamg,1,738.972
8,bcgs,gamg,2,742.462
8,bcgs,gamg,3,743.589
8,bcgs,gamg,4,744.168
8,bcgs,gamg,5,745.14
8,gmres,jacobi,1,646.632
8,gmres,jacobi,2,644.249
8,gmres,jacobi,3,644.318
8,gmres,jacobi,4,644.113
8,gmres,jacobi,5,644.295
8,gmres,sor,1,311.07
8,gmres,sor,2,310.927
8,gmres,sor,3,311.051
8,gmres,sor,4,310.946
8,gmres,sor,5,311.447
8,gmres,ilu,1,307.67
8,gmres,ilu,2,307.287
8,gmres,ilu,3,310.407
8,gmres,ilu,4,308.812
8,gmres,ilu,5,307.762
8,gmres,icc,1,281.184
8,gmres,icc,2,280.876
8,gmres,icc,3,280.973
8,gmres,icc,4,280.983
8,gmres,icc,5,281.022
8,gmres,gamg,1,729.91
8,gmres,gamg,2,732.373
8,gmres,gamg,3,734.084
8,gmres,gamg,4,734.58
8,gmres,gamg,5,735.709
step,solver,pc,trial,runtime_ms
9,cg,jacobi,1,222.592
9,cg,jacobi,2,222.091
9,cg,jacobi,3,223.073
9,cg,jacobi,4,222.297
9,cg,jacobi,5,223.564
9,cg,sor,1,126.542
9,cg,sor,2,126.063
9,cg,sor,3,126.134
9,cg,sor,4,126.229
9,cg,sor,5,126.238
9,cg,ilu,1,141.262
9,cg,ilu,2,123.623
9,cg,ilu,3,120.829
9,cg,ilu,4,119.685
9,cg,ilu,5,119.41
9,cg,icc,1,119.679
9,cg,icc,2,119.637
9,cg,icc,3,119.616
9,cg,icc,4,119.626
9,cg,icc,5,119.715
9,cg,gamg,1,561.705
9,cg,gamg,2,593.238
9,cg,gamg,3,602.678
9,cg,gamg,4,601.865
9,cg,gamg,5,604.738
9,bcgs,jacobi,1,272.893
9,bcgs,jacobi,2,272.351
9,bcgs,jacobi,3,273.407
9,bcgs,jacobi,4,273.352
9,bcgs,jacobi,5,273.832
9,bcgs,sor,1,197.31
9,bcgs,sor,2,196.883
9,bcgs,sor,3,196.806
9,bcgs,sor,4,197.041
9,bcgs,sor,5,196.858
9,bcgs,ilu,1,170.779
9,bcgs,ilu,2,155.984
9,bcgs,ilu,3,154.881
9,bcgs,ilu,4,155.226
9,bcgs,ilu,5,155.227
9,bcgs,icc,1,155.022
9,bcgs,icc,2,153.673
9,bcgs,icc,3,154.25
9,bcgs,icc,4,154.423
9,bcgs,icc,5,153.888
9,bcgs,gamg,1,650.673
9,bcgs,gamg,2,651.777
9,bcgs,gamg,3,653.925
9,bcgs,gamg,4,654.822
9,bcgs,gamg,5,654.818
9,gmres,jacobi,1,644.165
9,gmres,jacobi,2,641.806
9,gmres,jacobi,3,641.977
9,gmres,jacobi,4,641.84
9,gmres,jacobi,5,642.197
9,gmres,sor,1,310.287
9,gmres,sor,2,310.28
9,gmres,sor,3,310.327
9,gmres,sor,4,310.196
9,gmres,sor,5,310.202
9,gmres,ilu,1,309.697
9,gmres,ilu,2,309.587
9,gmres,ilu,3,312.044
9,gmres,ilu,4,310.39
9,gmres,ilu,5,311.011
9,gmres,icc,1,280.877
9,gmres,icc,2,280.926
9,gmres,icc,3,280.99
9,gmres,icc,4,280.935
9,gmres,icc,5,280.876
9,gmres,gamg,1,727.797
9,gmres,gamg,2,727.028
9,gmres,gamg,3,727.7
9,gmres,gamg,4,727.383
9,gmres,gamg,5,727.384
step,solver,pc,trial,runtime_ms
10,cg,jacobi,1,212.719
10,cg,jacobi,2,212.74
10,cg,jacobi,3,212.58
10,cg,jacobi,4,212.246
10,cg,jacobi,5,212.684
10,cg,sor,1,122.523
10,cg,sor,2,122.096
10,cg,sor,3,122.102
10,cg,sor,4,122.291
10,cg,sor,5,122.324
10,cg,ilu,1,140.175
10,cg,ilu,2,122.706
10,cg,ilu,3,120.242
10,cg,ilu,4,118.216
10,cg,ilu,5,119.157
10,cg,icc,1,117.523
10,cg,icc,2,118.063
10,cg,icc,3,118.677
10,cg,icc,4,118.752
10,cg,icc,5,118.87
10,cg,gamg,1,580.503
10,cg,gamg,2,589.047
10,cg,gamg,3,593.672
10,cg,gamg,4,599.731
10,cg,gamg,5,601.681
10,bcgs,jacobi,1,287.676
10,bcgs,jacobi,2,286.915
10,bcgs,jacobi,3,287.006
10,bcgs,jacobi,4,287.284
10,bcgs,jacobi,5,287.264
10,bcgs,sor,1,189.783
10,bcgs,sor,2,189.681
10,bcgs,sor,3,189.909
10,bcgs,sor,4,189.848
10,bcgs,sor,5,189.687
10,bcgs,ilu,1,172.652
10,bcgs,ilu,2,158.675
10,bcgs,ilu,3,157.419
10,bcgs,ilu,4,156.93
10,bcgs,ilu,5,157.492
10,bcgs,icc,1,155.588
10,bcgs,icc,2,154.902
10,bcgs,icc,3,157.292
10,bcgs,icc,4,156.188
10,bcgs,icc,5,156.071
10,bcgs,gamg,1,594.833
10,bcgs,gamg,2,595.401
10,bcgs,gamg,3,596.138
10,bcgs,gamg,4,597.648
10,bcgs,gamg,5,598.101
10,gmres,jacobi,1,641.251
10,gmres,jacobi,2,638.628
10,gmres,jacobi,3,638.775
